process_shortreads v2.62, executed 2023-02-13 17:54:50 (zlib-1.2.11)
process_shortreads -p /home/breitba1/scratch/plate3_run2_fastq/ -o /home/breitba1/scratch/step03_clean/plate3_r2/ -c -t 110
File	Retained Reads	Low Quality	Ambiguous Barcodes	Trimmed Reads	Orphaned paired-end reads	Total
40559-3A_R2_G4_R2_val_2.fq	3974908	63	0	0	0	3974971
40559-3A_R2_G5_R2_val_2.fq	5873898	79	0	0	0	5873977
40559-3A_R2_G6_R2_val_2.fq	4296923	51	0	0	0	4296974
40559-3A_R2_G7_R2_val_2.fq	9091388	129	0	0	0	9091517
40559-3A_R2_G8_R2_val_2.fq	8084292	115	0	0	0	8084407
40559-3A_R2_G9_R2_val_2.fq	3448370	43	0	0	0	3448413
40559-3A_R2_H10_R2_val_2.fq	2541163	41	0	0	0	2541204
40559-3A_R2_H11_R2_val_2.fq	2503106	44	0	0	0	2503150
40559-3A_R2_H1_R2_val_2.fq	1872363	23	0	0	0	1872386
40559-3A_R2_H2_R2_val_2.fq	3647266	49	0	0	0	3647315
40559-3A_R2_H3_R2_val_2.fq	5115958	68	0	0	0	5116026
40559-3A_R2_H5_R2_val_2.fq	4513742	55	0	0	0	4513797
40559-3A_R2_H6_R2_val_2.fq	3787303	48	0	0	0	3787351
40559-3A_R2_H7_R2_val_2.fq	4138078	51	0	0	0	4138129
40559-3A_R2_H8_R2_val_2.fq	5628545	67	0	0	0	5628612
40559-3A_R2_H9_R2_val_2.fq	3438702	61	0	0	0	3438763

Total Sequences	932777494
Ambiguous Barcodes	0
Low Quality	41720
Trimmed Reads	0
Orphaned Paired-ends	0
Retained Reads	932735774
